Step	V(S)	Q-Loss	Policy-Loss	Alpha	Eval-Mean	Eval-Std
80000	N/A	N/A	N/A	N/A	1.0	0.0
81000	40.358917236328125	0.7637455463409424	-40.358829498291016	1.4727856087470848e-11	N/A	N/A
82000	40.28116226196289	0.7354679107666016	-40.281219482421875	1.0916626977386379e-11	N/A	N/A
83000	38.93785095214844	0.8242132663726807	-38.93788146972656	8.09165495024855e-12	N/A	N/A
84000	39.477230072021484	0.6954271793365479	-39.47718811035156	5.997720983058619e-12	N/A	N/A
85000	38.47943115234375	0.6134316325187683	-38.479461669921875	4.4456487102717546e-12	N/A	N/A
86000	38.22850036621094	0.620677649974823	-38.22845458984375	3.295217180718235e-12	N/A	N/A
87000	40.26619338989258	0.7730719447135925	-40.26606369018555	2.442490871015779e-12	N/A	N/A
88000	38.67202377319336	0.5572112798690796	-38.671966552734375	1.8104303863356042e-12	N/A	N/A
89000	38.00931167602539	0.8763207793235779	-38.00929641723633	1.3419326413965926e-12	N/A	N/A
90000	38.92384338378906	0.8516432046890259	-38.923828125	9.946713591668654e-13	N/A	N/A
90000	N/A	N/A	N/A	N/A	1.0	0.0
91000	39.80868911743164	0.5772335529327393	-39.80867385864258	7.372733066418613e-13	N/A	N/A
92000	38.743080139160156	0.642706036567688	-38.743072509765625	5.464839193149162e-13	N/A	N/A
93000	39.29914093017578	0.6058018207550049	-39.29905700683594	4.050664697326928e-13	N/A	N/A
94000	39.82847213745117	0.5697829723358154	-39.828399658203125	3.002446110744045e-13	N/A	N/A
95000	39.43728256225586	0.6362543702125549	-39.436954498291016	2.2254821683415082e-13	N/A	N/A
96000	38.31599426269531	0.6254147291183472	-38.31586837768555	1.6495785043913608e-13	N/A	N/A
97000	38.588016510009766	0.5655777454376221	-38.587989807128906	1.222705476363467e-13	N/A	N/A
98000	40.442386627197266	0.6361861228942871	-40.44215774536133	9.062974708814314e-14	N/A	N/A
99000	39.391258239746094	0.5791006088256836	-39.39087677001953	6.717686167534084e-14	N/A	N/A
