Step	V(S)	Q-Loss	Policy-Loss	Alpha	Eval-Mean	Eval-Std
0	1.0731580257415771	1781.0789794921875	-1.0730644464492798	0.9997003078460693	N/A	N/A
1000	13.736990928649902	56.95030975341797	-13.73719596862793	0.6952476501464844	N/A	N/A
2000	12.099592208862305	47.92061233520508	-12.099708557128906	0.45967769622802734	N/A	N/A
3000	11.184930801391602	32.675262451171875	-11.184966087341309	0.2958430349826813	N/A	N/A
4000	12.231258392333984	24.8497371673584	-12.231202125549316	0.20482181012630463	N/A	N/A
5000	11.214200019836426	10.846002578735352	-11.214176177978516	0.14614258706569672	N/A	N/A
6000	13.566506385803223	6.23492431640625	-13.566295623779297	0.10320235788822174	N/A	N/A
7000	16.896617889404297	5.228541851043701	-16.896520614624023	0.07189594954252243	N/A	N/A
8000	14.873381614685059	6.324577331542969	-14.87243938446045	0.05146840959787369	N/A	N/A
9000	13.678400039672852	7.108325958251953	-13.678314208984375	0.0374760739505291	N/A	N/A
10000	17.47547721862793	5.009262561798096	-17.474781036376953	0.02726242132484913	N/A	N/A
10000	N/A	N/A	N/A	N/A	1.0	0.0
11000	18.090253829956055	3.933413505554199	-18.090147018432617	0.01979374699294567	N/A	N/A
12000	20.70595359802246	2.0096397399902344	-20.70512580871582	0.014457924291491508	N/A	N/A
13000	23.468891143798828	2.3916382789611816	-23.468908309936523	0.01064253319054842	N/A	N/A
14000	25.526315689086914	1.868032455444336	-25.52633285522461	0.007859545759856701	N/A	N/A
15000	30.514694213867188	2.477233648300171	-30.514005661010742	0.005821628030389547	N/A	N/A
16000	29.5996036529541	1.8897151947021484	-29.599578857421875	0.004308093339204788	N/A	N/A
17000	31.831392288208008	2.024815797805786	-31.830890655517578	0.003186413086950779	N/A	N/A
18000	31.138505935668945	2.0709259510040283	-31.13844871520996	0.002357379300519824	N/A	N/A
19000	33.8200798034668	1.6377930641174316	-33.82014083862305	0.001744612236507237	N/A	N/A
20000	32.57219696044922	1.4440197944641113	-32.572025299072266	0.0012918548891320825	N/A	N/A
20000	N/A	N/A	N/A	N/A	1.0	0.0
21000	31.6492977142334	1.3089817762374878	-31.64927864074707	0.0009569482645019889	N/A	N/A
22000	34.42263412475586	1.1913329362869263	-34.42247772216797	0.0007089144783094525	N/A	N/A
23000	36.3343391418457	1.2189662456512451	-36.33432388305664	0.0005252425326034427	N/A	N/A
24000	37.354190826416016	1.0578984022140503	-37.354190826416016	0.00038922918611206114	N/A	N/A
25000	38.188331604003906	1.0334982872009277	-38.188011169433594	0.0002883804845623672	N/A	N/A
26000	39.04410171508789	1.0293024778366089	-39.04404067993164	0.00021360671962611377	N/A	N/A
27000	37.89448547363281	0.9509372711181641	-37.89446258544922	0.00015820296539459378	N/A	N/A
28000	40.19669723510742	0.8856726884841919	-40.19668960571289	0.00011716486915247515	N/A	N/A
29000	40.067256927490234	0.847089946269989	-40.067230224609375	8.676251309225336e-05	N/A	N/A
30000	37.5599250793457	0.9039557576179504	-37.559776306152344	6.425035826396197e-05	N/A	N/A
30000	N/A	N/A	N/A	N/A	1.0	0.0
31000	41.35731506347656	0.8755145072937012	-41.35715103149414	4.758225622936152e-05	N/A	N/A
32000	39.92001724243164	0.920483410358429	-39.920013427734375	3.523964551277459e-05	N/A	N/A
33000	40.69381332397461	0.8728196620941162	-40.693817138671875	2.6100018658326007e-05	N/A	N/A
34000	39.79000473022461	0.8932132124900818	-39.78960418701172	1.9331106159370393e-05	N/A	N/A
35000	40.471656799316406	0.9564096331596375	-40.471588134765625	1.4317078239400871e-05	N/A	N/A
36000	40.17788314819336	0.9218816757202148	-40.17787551879883	1.0604872841213364e-05	N/A	N/A
37000	41.25617218017578	1.0256143808364868	-41.25601577758789	7.854820978536736e-06	N/A	N/A
38000	40.839195251464844	0.859310507774353	-40.83926773071289	5.818471436214168e-06	N/A	N/A
39000	41.465110778808594	0.9226115942001343	-41.46502685546875	4.309771156840725e-06	N/A	N/A
40000	40.39088439941406	0.7937766313552856	-40.39077377319336	3.192056510670227e-06	N/A	N/A
40000	N/A	N/A	N/A	N/A	1.0	0.0
41000	41.32936096191406	0.6392806768417358	-41.32948684692383	2.364385863984353e-06	N/A	N/A
42000	41.06293869018555	0.8534089922904968	-41.06290817260742	1.7510869838588405e-06	N/A	N/A
43000	43.10480499267578	1.150012731552124	-43.10456466674805	1.2968794180778787e-06	N/A	N/A
44000	39.68722152709961	1.0573698282241821	-39.6871452331543	9.60482452683209e-07	N/A	N/A
45000	40.86503219604492	0.6412969827651978	-40.864891052246094	7.113425795068906e-07	N/A	N/A
46000	40.586368560791016	0.678327202796936	-40.586307525634766	5.268377663014689e-07	N/A	N/A
47000	40.944915771484375	0.8153455257415771	-40.944862365722656	3.902172522884939e-07	N/A	N/A
48000	40.73377227783203	0.8425631523132324	-40.733734130859375	2.890060954996443e-07	N/A	N/A
49000	38.33715057373047	1.070288896560669	-38.336673736572266	2.1406562211723212e-07	N/A	N/A
50000	40.184322357177734	0.8043195009231567	-40.18431091308594	1.5853575519031438e-07	N/A	N/A
50000	N/A	N/A	N/A	N/A	1.0	0.0
51000	40.665321350097656	0.7798274755477905	-40.665321350097656	1.1742262984171248e-07	N/A	N/A
52000	38.973026275634766	0.682824969291687	-38.97298812866211	8.702549081363031e-08	N/A	N/A
53000	41.673980712890625	0.7170207500457764	-41.67389678955078	6.450504486110731e-08	N/A	N/A
54000	39.167503356933594	0.7764613032341003	-39.16749572753906	4.781263029940419e-08	N/A	N/A
55000	38.49763107299805	0.7353811264038086	-38.49766540527344	3.543981819120745e-08	N/A	N/A
56000	39.283363342285156	0.8246257305145264	-39.28322219848633	2.626880757361505e-08	N/A	N/A
57000	38.32268142700195	0.8007345199584961	-38.32258605957031	1.947104699695501e-08	N/A	N/A
58000	40.434078216552734	0.7712458372116089	-40.4340934753418	1.4432387729357288e-08	N/A	N/A
59000	41.58362579345703	0.7914800643920898	-41.58350372314453	1.0697617902621914e-08	N/A	N/A
60000	39.574825286865234	0.6024030447006226	-39.57477569580078	7.929305212428517e-09	N/A	N/A
60000	N/A	N/A	N/A	N/A	1.0	0.0
61000	39.999691009521484	0.7926598787307739	-39.99958419799805	5.877383912888945e-09	N/A	N/A
62000	40.01962661743164	0.64332115650177	-40.01947784423828	4.3564520879613156e-09	N/A	N/A
63000	39.787010192871094	0.7284053564071655	-39.78704071044922	3.2291025409136864e-09	N/A	N/A
64000	39.399085998535156	0.8678756356239319	-39.39912414550781	2.39348496577918e-09	N/A	N/A
65000	37.11114501953125	1.0219676494598389	-37.1108283996582	1.774068891791103e-09	N/A	N/A
66000	40.93385314941406	0.8730006217956543	-40.933860778808594	1.3149431543624246e-09	N/A	N/A
67000	37.37042999267578	0.7060063481330872	-37.37041473388672	9.746642382069126e-10	N/A	N/A
68000	39.32810974121094	0.6991214752197266	-39.328025817871094	7.224436049391159e-10	N/A	N/A
69000	39.09150314331055	0.777454137802124	-39.09151077270508	5.354918175548562e-10	N/A	N/A
70000	39.310508728027344	0.7973763942718506	-39.31047439575195	3.969188311359062e-10	N/A	N/A
70000	N/A	N/A	N/A	N/A	1.0	0.0
71000	40.589229583740234	0.6892215013504028	-40.589237213134766	2.94205382278534e-10	N/A	N/A
72000	39.30864715576172	0.5617458820343018	-39.30857849121094	2.1807179673150046e-10	N/A	N/A
73000	39.150691986083984	0.7881211042404175	-39.15048599243164	1.6163982652361852e-10	N/A	N/A
74000	39.10268020629883	0.5930554866790771	-39.102657318115234	1.1981116099235578e-10	N/A	N/A
75000	38.34065628051758	0.6196705102920532	-38.340641021728516	8.880680218981141e-11	N/A	N/A
76000	40.119346618652344	0.7421077489852905	-40.11930847167969	6.582563660817442e-11	N/A	N/A
77000	36.51350784301758	0.49075523018836975	-36.51334762573242	4.879147780245674e-11	N/A	N/A
78000	38.73062515258789	0.648395836353302	-38.73060989379883	3.616536584094554e-11	N/A	N/A
79000	40.48329162597656	0.6704871654510498	-40.483306884765625	2.680660034226623e-11	N/A	N/A
80000	37.83416748046875	0.7027227878570557	-37.8340950012207	1.9869670145333806e-11	N/A	N/A
